10.0.2.15,10.0.2.255,138,138,BROWSER,1460611590,10.0.2.255,"Domain/Workgroup Announcement WORKGROUP, NT Workstation, Domain Enum"
10.0.2.15,75.75.75.75,49953,53,DNS,1460611595,75.75.75.75,Standard query 0xd4f5 A www.djapp.info
75.75.75.75,10.0.2.15,53,49953,DNS,1460611596,10.0.2.15,Standard query response 0xd4f5 A www.djapp.info CNAME djapp.info A 52.1.45.42
10.0.2.15,52.1.45.42,49438,80,TCP,1460611596,52.1.45.42,49438  >  http [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1
52.1.45.42,10.0.2.15,80,49438,TCP,1460611596,10.0.2.15,"http  >  49438 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
10.0.2.15,52.1.45.42,49438,80,TCP,1460611596,52.1.45.42,49438  >  http [ACK] Seq=1 Ack=1 Win=64240 Len=0
10.0.2.15,52.1.45.42,49438,80,HTTP,1460611596,52.1.45.42,GET /?domain=ffnyRwCSeu.com&dotnet=2&file=installer&ip=52.1.45.42:80&pub_id=377&setup_id=300&srcid=UFAf_PI7Dh3IizD6k3VGXf8V7slq5pJZmGYrhLIFYhTJiUp2-KcxyCtDJmXH&dbg=1 HTTP/1.1 
52.1.45.42,10.0.2.15,80,49438,TCP,1460611596,10.0.2.15,http  >  49438 [ACK] Seq=1 Ack=309 Win=65535 Len=0
52.1.45.42,10.0.2.15,80,49438,HTTP,1460611596,10.0.2.15,HTTP/1.1 302 Moved Temporarily  (text/html) (text/html)
10.0.2.15,75.75.75.75,54194,53,DNS,1460611596,75.75.75.75,Standard query 0x59f1 A d2imjp01y2qig5.cloudfront.net
75.75.75.75,10.0.2.15,53,54194,DNS,1460611596,10.0.2.15,Standard query response 0x59f1 A d2imjp01y2qig5.cloudfront.net A 54.230.144.210 A 54.230.144.10 A 54.230.144.107 A 54.230.144.199 A 54.230.144.147 A 54.230.144.117 A 54.230.144.234 A 54.230.144.143
10.0.2.15,52.1.45.42,49438,80,TCP,1460611596,52.1.45.42,49438  >  http [ACK] Seq=309 Ack=259 Win=63982 Len=0
10.0.2.15,54.230.144.210,49439,80,TCP,1460611596,54.230.144.210,49439  >  http [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1
54.230.144.210,10.0.2.15,80,49439,TCP,1460611596,10.0.2.15,"http  >  49439 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
10.0.2.15,54.230.144.210,49439,80,TCP,1460611596,54.230.144.210,49439  >  http [ACK] Seq=1 Ack=1 Win=64240 Len=0
10.0.2.15,54.230.144.210,49439,80,HTTP,1460611596,54.230.144.210,GET /FinalInstaller_dotnet2.exe HTTP/1.1 
54.230.144.210,10.0.2.15,80,49439,TCP,1460611596,10.0.2.15,http  >  49439 [ACK] Seq=1 Ack=190 Win=65535 Len=0
54.230.144.210,10.0.2.15,80,49439,HTTP,1460611596,10.0.2.15,HTTP/1.1 200 OK  (application/octet-stream)
54.230.144.210,10.0.2.15,80,49439,TCP,1460611596,10.0.2.15,http  >  49439 [ACK] Seq=1421 Ack=190 Win=65535 Len=1420
10.0.2.15,54.230.144.210,49439,80,TCP,1460611596,54.230.144.210,49439  >  http [ACK] Seq=190 Ack=2841 Win=64240 Len=0
54.230.144.210,10.0.2.15,80,49439,TCP,1460611596,10.0.2.15,http  >  49439 [ACK] Seq=2841 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611596,10.0.2.15,http  >  49439 [ACK] Seq=4261 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611596,10.0.2.15,http  >  49439 [ACK] Seq=5681 Ack=190 Win=65535 Len=1420
10.0.2.15,54.230.144.210,49439,80,TCP,1460611596,54.230.144.210,49439  >  http [ACK] Seq=190 Ack=7101 Win=64240 Len=0
54.230.144.210,10.0.2.15,80,49439,TCP,1460611596,10.0.2.15,http  >  49439 [ACK] Seq=7101 Ack=190 Win=65535 Len=1420
